民國年,縣市,期作,收購類型,收購量(公噸)
104,桃園市,一期,計畫收購,5522.1
104,桃園市,一期,輔導收購,3068.0
104,桃園市,一期,餘糧收購,2667.3
104,桃園市,二期,計畫收購,3180.6
104,桃園市,二期,輔導收購,1278.3
104,桃園市,二期,餘糧收購,559.5
104,臺中市,一期,計畫收購,14359.9
104,臺中市,一期,輔導收購,8091.9
104,臺中市,一期,餘糧收購,14250.4
104,臺中市,二期,計畫收購,4578.9
104,臺中市,二期,輔導收購,1033.4
104,臺中市,二期,餘糧收購,69.2
104,臺南市,一期,計畫收購,13709.7
104,臺南市,一期,輔導收購,5168.1
104,臺南市,一期,餘糧收購,1680.2
104,臺南市,二期,計畫收購,6129.3
104,臺南市,二期,輔導收購,305.0
104,臺南市,二期,餘糧收購,33.4
104,高雄市,一期,計畫收購,3174.2
104,高雄市,一期,輔導收購,1837.2
104,高雄市,一期,餘糧收購,2069.3
104,高雄市,二期,計畫收購,164.4
104,高雄市,二期,輔導收購,72.4
104,高雄市,二期,餘糧收購,121.7
104,宜蘭縣,一期,計畫收購,16635.1
104,宜蘭縣,一期,輔導收購,9171.7
104,宜蘭縣,一期,餘糧收購,3777.2
104,新竹縣,一期,計畫收購,2410.6
104,新竹縣,一期,輔導收購,1329.3
104,新竹縣,一期,餘糧收購,2078.6
104,新竹縣,二期,計畫收購,2748.4
104,新竹縣,二期,輔導收購,1007.6
104,新竹縣,二期,餘糧收購,96.0
104,苗栗縣,一期,計畫收購,4587.0
104,苗栗縣,一期,輔導收購,2631.4
104,苗栗縣,一期,餘糧收購,4252.5
104,苗栗縣,二期,計畫收購,4126.8
104,苗栗縣,二期,輔導收購,1514.1
104,苗栗縣,二期,餘糧收購,22.5
104,彰化縣,一期,計畫收購,22361.2
104,彰化縣,一期,輔導收購,10827.4
104,彰化縣,一期,餘糧收購,8105.0
104,彰化縣,二期,計畫收購,9575.8
104,彰化縣,二期,輔導收購,570.3
104,彰化縣,二期,餘糧收購,58.9
104,南投縣,一期,計畫收購,1592.1
104,南投縣,一期,輔導收購,609.7
104,南投縣,一期,餘糧收購,476.5
104,南投縣,二期,計畫收購,950.8
104,南投縣,二期,輔導收購,40.7
104,南投縣,二期,餘糧收購,4.8
104,雲林縣,一期,計畫收購,44870.8
104,雲林縣,一期,輔導收購,24584.9
104,雲林縣,一期,餘糧收購,22781.8
104,雲林縣,二期,計畫收購,10012.8
104,雲林縣,二期,輔導收購,1136.2
104,雲林縣,二期,餘糧收購,47.4
104,嘉義縣,一期,計畫收購,17445.1
104,嘉義縣,一期,輔導收購,8521.5
104,嘉義縣,一期,餘糧收購,3838.5
104,嘉義縣,二期,計畫收購,10798.2
104,嘉義縣,二期,輔導收購,735.2
104,嘉義縣,二期,餘糧收購,86.1
104,屏東縣,一期,計畫收購,1739.4
104,屏東縣,一期,輔導收購,756.3
104,屏東縣,一期,餘糧收購,248.3
104,屏東縣,二期,計畫收購,200.5
104,屏東縣,二期,輔導收購,101.9
104,屏東縣,二期,餘糧收購,88.2
104,臺東縣,一期,計畫收購,861.0
104,臺東縣,一期,輔導收購,178.4
104,臺東縣,一期,餘糧收購,69.0
104,臺東縣,二期,計畫收購,536.4
104,臺東縣,二期,輔導收購,61.2
104,花蓮縣,一期,計畫收購,2834.3
104,花蓮縣,一期,輔導收購,517.6
104,花蓮縣,一期,餘糧收購,188.9
104,花蓮縣,二期,計畫收購,2047.2
104,花蓮縣,二期,輔導收購,512.1
104,花蓮縣,二期,餘糧收購,178.0
104,新竹市,一期,計畫收購,114.1
104,新竹市,一期,輔導收購,68.0
104,新竹市,一期,餘糧收購,135.5
104,新竹市,二期,計畫收購,177.6
104,新竹市,二期,輔導收購,83.7
104,新竹市,二期,餘糧收購,161.8
104,嘉義市,一期,計畫收購,770.7
104,嘉義市,一期,輔導收購,269.5
104,嘉義市,一期,餘糧收購,42.9
104,嘉義市,二期,計畫收購,186.6
104,嘉義市,二期,輔導收購,18.7
104,嘉義市,二期,餘糧收購,19.6
105,新北市,一期,計畫收購,185.7
105,新北市,一期,輔導收購,101.5
105,新北市,一期,餘糧收購,135.8
105,桃園市,一期,計畫收購,14295.2
105,桃園市,一期,輔導收購,7876.8
105,桃園市,一期,餘糧收購,7733.7
105,桃園市,二期,計畫收購,2324.3
105,桃園市,二期,輔導收購,759.5
105,桃園市,二期,餘糧收購,121.3
105,臺中市,一期,計畫收購,14938.6
105,臺中市,一期,輔導收購,8279.9
105,臺中市,一期,餘糧收購,13266.2
105,臺中市,二期,計畫收購,2600.9
105,臺中市,二期,輔導收購,91.5
105,臺中市,二期,餘糧收購,8.8
105,臺南市,一期,計畫收購,13922.9
105,臺南市,一期,輔導收購,7232.1
105,臺南市,一期,餘糧收購,8277.7
105,臺南市,二期,計畫收購,1859.7
105,臺南市,二期,輔導收購,57.9
105,高雄市,一期,計畫收購,3282.2
105,高雄市,一期,輔導收購,1885.4
105,高雄市,一期,餘糧收購,3287.9
105,高雄市,二期,計畫收購,102.9
105,高雄市,二期,輔導收購,48.2
105,高雄市,二期,餘糧收購,92.3
105,宜蘭縣,一期,計畫收購,16748.9
105,宜蘭縣,一期,輔導收購,9146.3
105,宜蘭縣,一期,餘糧收購,3939.4
105,新竹縣,一期,計畫收購,5968.6
105,新竹縣,一期,輔導收購,3184.5
105,新竹縣,一期,餘糧收購,2786.2
105,新竹縣,二期,計畫收購,1999.7
105,新竹縣,二期,輔導收購,66.3
105,苗栗縣,一期,計畫收購,9173.6
105,苗栗縣,一期,輔導收購,5159.8
105,苗栗縣,一期,餘糧收購,1298.1
105,苗栗縣,二期,計畫收購,3035.4
